Transaction ID,Order ID,Date,
FIT54751,54751,16/05/2017 20:16:40,
FIT54742,54742,16/05/2017 19:19:27,
FIT54740,54740,16/05/2017 19:04:55,
FIT54704,54704,16/05/2017 19:04:15,
FIT54733,54733,16/05/2017 18:38:43,
MFIT54729,54729,16/05/2017 18:18:30,
MFIT54726,54726,16/05/2017 18:05:26,
FIT54720,54720,16/05/2017 17:56:00,
FIT54652,54652,16/05/2017 16:59:42,
FIT54705,54705,16/05/2017 16:53:05,
FIT54700,54700,16/05/2017 16:26:53,
FIT54676,54676,16/05/2017 16:05:06,
FIT54693,54693,16/05/2017 16:04:54,
FIT54688,54688,16/05/2017 15:46:30,
FIT54570,54570,16/05/2017 15:39:43,
FIT54682,54682,16/05/2017 15:32:32,
FIT54665,54665,16/05/2017 14:02:42,
FIT54561,54561,16/05/2017 13:28:10,
MFIT54635,54635,16/05/2017 09:40:38,
MFIT54632,54632,16/05/2017 09:08:44,
MFIT54629,54629,16/05/2017 08:12:38,
FIT54326,54326,16/05/2017 07:07:38,
FIT54626,54626,16/05/2017 06:48:56,
FIT54615,54615,15/05/2017 23:10:30,
FIT54613,54613,15/05/2017 22:56:35,
FIT54611,54611,15/05/2017 22:23:33,
FIT54609,54609,15/05/2017 21:39:48,
FIT54608,54608,15/05/2017 21:27:47,
MFIT54606,54606,15/05/2017 21:13:26,
FIT54605,54605,15/05/2017 21:11:23,
FIT54602,54602,15/05/2017 20:57:00,
MFIT54595,54595,15/05/2017 19:46:33,
FIT54569,54569,15/05/2017 19:43:10,
FIT54589,54589,15/05/2017 19:12:00,
FIT54585,54585,15/05/2017 18:39:38,
MFIT54582,54582,15/05/2017 18:19:29,
FIT54362,54362,15/05/2017 18:16:23,
FIT54580,54580,15/05/2017 18:10:19,
FIT54574,54574,15/05/2017 17:40:48,
MFIT54564-R1,54564,15/05/2017 16:47:25,
1718051501,1718051501,15/05/2017 16:37:11,
FIT54562,54562,15/05/2017 16:37:01,
FIT54558,54558,15/05/2017 16:17:04,
FIT54555,54555,15/05/2017 15:49:04,
MFIT54553,54553,15/05/2017 15:36:22,
FIT54548,54548,15/05/2017 15:07:51,
MFIT54545,54545,15/05/2017 14:52:46,
MFIT54542-R1,54542,15/05/2017 14:42:05,
FIT54539,54539,15/05/2017 14:31:38,
MFIT54531,54531,15/05/2017 13:35:54,
MFIT54526,54526,15/05/2017 13:16:47,
FIT53248,53248,15/05/2017 12:50:31,
FIT54517,54517,15/05/2017 12:50:03,
FIT54512,54512,15/05/2017 12:20:34,
FIT54511,54511,15/05/2017 12:01:34,
FIT54505,54505,15/05/2017 11:21:58,
MFIT54501,54501,15/05/2017 11:10:05,
FIT54499,54499,15/05/2017 10:33:19,
FIT54498,54498,15/05/2017 10:23:24,
MFIT54493,54493,15/05/2017 08:47:00,
MFIT54492,54492,15/05/2017 07:42:36,
MFIT54490,54490,15/05/2017 07:06:35,
MFIT54489,54489,15/05/2017 06:56:49,
FIT54485,54485,15/05/2017 00:51:24,
FIT54476,54476,14/05/2017 21:28:44,
FIT54268,54268,14/05/2017 21:22:38,
MFIT54475,54475,14/05/2017 20:00:49,
FIT54466,54466,14/05/2017 18:12:24,
FIT54465,54465,14/05/2017 17:15:19,
FIT54462,54462,14/05/2017 15:20:41,
'16170511201,'16170511201,14/05/2017 14:27:44,
FIT54457,54457,14/05/2017 11:45:04,
MFIT54456,54456,14/05/2017 11:31:11,
MFIT54453,54453,14/05/2017 11:14:54,
MFIT54451,54451,14/05/2017 10:47:29,
FIT54361,54361,14/05/2017 10:20:17,
FIT54021,54021,13/05/2017 22:32:58,
FIT53250,53250,13/05/2017 21:35:13,
FIT54439,54439,13/05/2017 21:32:04,
MFIT54438,54438,13/05/2017 20:01:40,
FIT54433,54433,13/05/2017 19:01:26,
MFIT54430,54430,13/05/2017 17:50:57,
FIT54429,54429,13/05/2017 17:46:39,
FIT54398,54398,13/05/2017 17:35:37,
FIT54418,54418,13/05/2017 17:20:57,
MFIT54421,54421,13/05/2017 16:50:57,
FIT54416,54416,13/05/2017 16:32:02,
FIT54412,54412,13/05/2017 15:57:44,
MFIT54410,54410,13/05/2017 15:57:26,
FIT54404,54404,13/05/2017 15:18:13,
FIT54403,54403,13/05/2017 14:57:55,
MFIT54401,54401,13/05/2017 14:24:03,
FIT54115,54115,13/05/2017 13:36:00,
MFIT54392,54392,13/05/2017 13:00:04,
FIT54384,54384,13/05/2017 12:07:20,
FIT54374,54374,13/05/2017 11:50:24,
FIT54381,54381,13/05/2017 11:48:12,
FIT54314,54314,13/05/2017 10:14:01,
FIT54372,54372,13/05/2017 06:44:05,
MFIT54369,54369,12/05/2017 23:58:10,
Fit54048,54048,12/05/2017 20:43:05,
FIT54364,54364,12/05/2017 20:08:15,
FIT54359,54359,12/05/2017 18:09:59,
FIT54357,54357,12/05/2017 17:38:45,
FIT54355,54355,12/05/2017 17:36:36,
FIT54337,54337,12/05/2017 13:41:04,
FIT54333,54333,12/05/2017 13:09:29,
FIT54329,54329,12/05/2017 12:53:03,
FIT54331,54331,12/05/2017 12:48:23,
FIT54327,54327,12/05/2017 12:30:28,
FIT54003,54003,12/05/2017 11:32:36,
MFIT54319,54319,12/05/2017 10:58:48,
FIT54310,54310,12/05/2017 01:24:39,
FIT54308,54308,11/05/2017 23:33:40,
MFIT54306,54306,11/05/2017 22:50:27,
FIT54298,54298,11/05/2017 20:37:40,
MFIT54297,54297,11/05/2017 20:37:15,
FIT54295,54295,11/05/2017 20:13:51,
FIT53738,53738,11/05/2017 19:07:03,
FIT54117,54117,11/05/2017 18:04:49,
FIT54277,54277,11/05/2017 18:02:52,
FIT54275,54275,11/05/2017 17:41:31,
MFIT54273,54273,11/05/2017 17:32:34,
MFIT54270,54270,11/05/2017 17:17:39,
FIT54051,54051,11/05/2017 16:10:21,
FIT54258,54258,11/05/2017 15:58:25,
MFIT54254,54254,11/05/2017 15:35:15,
FIT54252,54252,11/05/2017 14:49:52,
FIT54253,54253,11/05/2017 14:49:27,
MFIT54248,54248,11/05/2017 14:33:16,
FIT54240,54240,11/05/2017 13:59:43,
FIT54236,54236,11/05/2017 13:49:31,
MFIT54235,54235,11/05/2017 13:48:00,
FIT54221,54221,11/05/2017 12:02:21,
FIT54212,54212,11/05/2017 10:26:11,
FIT54203,54203,11/05/2017 07:46:49,
FIT54155,54155,11/05/2017 00:18:08,
MFIT54198-R1,54198,11/05/2017 00:00:06,
FIT54195,54195,10/05/2017 21:36:48,
FIT54189,54189,10/05/2017 19:46:45,
FIT54181,54181,10/05/2017 18:50:34,
FIT54174,54174,10/05/2017 17:54:56,
FIT54163,54163,10/05/2017 16:29:37,
MFIT54162,54162,10/05/2017 16:26:09,
FIT54161,54161,10/05/2017 16:22:16,
FIT54156,54156,10/05/2017 15:44:57,
FIT54145,54145,10/05/2017 14:47:15,
FIT54143,54143,10/05/2017 14:42:53,
FIT54140,54140,10/05/2017 14:35:17,
FIT54136,54136,10/05/2017 14:23:30,
1718050901,1718050901,10/05/2017 13:17:30,
MFIT54123,54123,10/05/2017 12:45:25,
FIT54121,54121,10/05/2017 12:35:25,
FIT54118,54118,10/05/2017 12:13:01,
FIT54109,54109,10/05/2017 11:57:13,
FIT54110,54110,10/05/2017 11:01:46,
FIT54108,54108,10/05/2017 10:27:40,
FIT54106,54106,10/05/2017 09:55:46,
MFIT54095,54095,09/05/2017 23:44:29,
MFIT54093,54093,09/05/2017 23:37:55,
FIT54090,54090,09/05/2017 22:41:00,
FIT54089,54089,09/05/2017 22:35:25,
FIT54087,54087,09/05/2017 22:20:30,
FIT54086,54086,09/05/2017 22:10:34,
FIT54085,54085,09/05/2017 21:53:36,
MFIT54083,54083,09/05/2017 21:14:03,
FIT54076,54076,09/05/2017 19:49:26,
Fit54075,54075,09/05/2017 19:35:31,
Fit54064,54064,09/05/2017 18:56:17,
MFIT54070,54070,09/05/2017 18:51:44,
MFIT54068,54068,09/05/2017 18:47:32,
FIT54060,54060,09/05/2017 18:02:24,
MFIT54055,54055,09/05/2017 17:08:48,
FIT54042,54042,09/05/2017 16:07:27,
FIT54040,54040,09/05/2017 16:03:30,
MFIT54037,54037,09/05/2017 15:46:29,
MFIT54030,54030,09/05/2017 15:09:24,
MFIT54017-R2,54017,09/05/2017 14:12:13,
FIT54022,54022,09/05/2017 13:52:50,
FIT54018,54018,09/05/2017 13:44:54,
FIT52627,52627,09/05/2017 13:23:13,
FIT54009,54009,09/05/2017 12:43:11,
FIT54010,54010,09/05/2017 12:37:50,
FIT54005,54005,09/05/2017 11:37:48,
FIT54002,54002,09/05/2017 11:26:01,
MFIT53998,53998,09/05/2017 10:46:17,
MFIT53993,53993,09/05/2017 09:15:32,
MFIT53992,53992,09/05/2017 07:29:25,
FIT53986,53986,08/05/2017 23:30:21,
MFIT53983,53983,08/05/2017 21:54:25,
FIT53977,53977,08/05/2017 20:36:11,
FIT53976,53976,08/05/2017 20:32:35,
FIT53975,53975,08/05/2017 20:30:36,
MFIT53965-R1,53965,08/05/2017 19:34:57,
FIT53964,53964,08/05/2017 19:28:44,
FIT53645,53645,08/05/2017 19:08:28,
FIT53957,53957,08/05/2017 18:55:55,
1718050801,1718050801,08/05/2017 18:40:02,
MFIT53949,53949,08/05/2017 18:19:34,
FIT53925,53925,08/05/2017 16:07:04,
FIT53919,53919,08/05/2017 16:05:52,
FIT53924,53924,08/05/2017 16:04:52,
FIT53916,53916,08/05/2017 15:44:59,
FIT53911,53911,08/05/2017 15:31:46,
FIT53895,53895,08/05/2017 13:25:59,
FIT53893,53893,08/05/2017 13:05:51,
FIT53889,53889,08/05/2017 12:31:05,
FIT53883,53883,08/05/2017 12:04:09,
MFIT53875,53875,08/05/2017 10:38:49,
MFIT53873,53873,08/05/2017 09:23:23,
MFIT53869,53869,08/05/2017 08:55:24,
FIT53867,53867,08/05/2017 08:47:12,
MFIT53865,53865,08/05/2017 08:35:13,
FIT53856,53856,07/05/2017 21:45:53,
FIT53854,53854,07/05/2017 21:41:12,
FIT53853,53853,07/05/2017 21:40:22,
FIT53840,53840,07/05/2017 18:51:33,
FIT53837,53837,07/05/2017 18:34:46,
FIT53834,53834,07/05/2017 17:31:46,
FIT53832,53832,07/05/2017 17:11:36,
FIT53829,53829,07/05/2017 15:01:45,
FIT53822,53822,07/05/2017 13:51:20,
FIT53814,53814,07/05/2017 11:50:47,
FIT53812,53812,07/05/2017 11:32:15,
FIT53811,53811,07/05/2017 11:25:04,
MFIT53805,53805,07/05/2017 07:53:12,
MFIT53797-R1,53797,07/05/2017 03:33:58,
MFIT53799,53799,07/05/2017 01:34:10,
FIT53794,53794,06/05/2017 23:30:42,
FIT53792,53792,06/05/2017 21:59:19,
MFIT53791,53791,06/05/2017 21:56:38,
MFIT53775,53775,06/05/2017 18:56:34,
FIT53764,53764,06/05/2017 17:57:56,
FIT53757,53757,06/05/2017 17:52:21,
FIT53754,53754,06/05/2017 16:45:54,
FIT53752,53752,06/05/2017 16:42:41,
FIT53747,53747,06/05/2017 15:35:43,
MFIT53735,53735,06/05/2017 13:30:52,
FIT53733,53733,06/05/2017 13:01:37,
FIT53725,53725,06/05/2017 11:38:30,
FIT53724,53724,06/05/2017 11:34:11,
MFIT53721,53721,06/05/2017 11:17:55,
MFIT53719,53719,06/05/2017 11:14:04,
FIT53715,53715,06/05/2017 10:38:26,
FIT53714,53714,06/05/2017 10:14:38,
FIT53713,53713,06/05/2017 10:10:43,
FIT53712,53712,06/05/2017 10:09:53,
MFIT53710,53710,06/05/2017 10:05:52,
MFIT53711,53711,06/05/2017 10:02:18,
FIT52136,52136,06/05/2017 03:25:08,
FIT53683,53683,05/05/2017 20:06:57,
FIT53679,53679,05/05/2017 19:52:23,
FIT53675,53675,05/05/2017 19:11:23,
FIT53672,53672,05/05/2017 19:05:10,
FIT53659,53659,05/05/2017 17:14:06,
MFIT53652,53652,05/05/2017 16:21:44,
FIT53647,53647,05/05/2017 15:53:15,
MFIT53644,53644,05/05/2017 15:19:29,
FIT53641,53641,05/05/2017 14:59:51,
FIT53640,53640,05/05/2017 14:58:28,
FIT53627,53627,05/05/2017 14:21:08,
FIT53632,53632,05/05/2017 12:55:43,
FIT53630,53630,05/05/2017 12:32:35,
FIT53622,53622,05/05/2017 11:52:47,
MFIT53621,53621,05/05/2017 11:47:04,
FIT53616,53616,05/05/2017 11:06:00,
FIT53609,53609,05/05/2017 09:22:40,
FIT53602,53602,05/05/2017 00:17:42,
FIT53600,53600,04/05/2017 23:01:51,
FIT53593,53593,04/05/2017 21:31:21,
FIT53596,53596,04/05/2017 21:28:27,
MFIT53594,53594,04/05/2017 21:25:17,
FIT53592,53592,04/05/2017 21:09:33,
FIT53591,53591,04/05/2017 21:01:39,
FIT53590,53590,04/05/2017 20:57:25,
